seed,scenario,day,hunger,thirst,fatigue,warmth,morale,health,radiationDose,lifetimeExposure,foodConsumed,waterConsumed,hungerCritical,thirstCritical,healthLossPerDay
42,DailyRation,1,19.20,23.80,19.60,100.00,70.00,100.00,29.00,34.00,2,3,False,False,0.00
42,DailyRation,2,18.40,22.60,29.20,100.00,70.00,100.00,53.00,58.00,4,6,False,False,0.00
42,DailyRation,3,17.60,21.40,38.80,100.00,70.00,100.00,77.00,82.00,6,9,False,False,0.00
42,DailyRation,4,16.80,20.20,48.40,100.00,70.00,100.00,100.00,106.00,8,12,False,False,0.00
42,DailyRation,5,16.00,19.00,58.00,100.00,70.00,100.00,100.00,130.00,10,15,False,False,0.00
42,DailyRation,6,15.20,17.80,67.60,100.00,70.00,100.00,100.00,154.00,12,18,False,False,0.00
42,DailyRation,7,14.40,16.60,77.20,100.00,70.00,100.00,100.00,178.00,14,21,False,False,0.00
42,DailyRation,8,13.60,15.40,86.80,100.00,70.00,100.00,100.00,202.00,16,24,False,False,0.00
42,DailyRation,9,12.80,14.20,96.40,100.00,70.00,100.00,100.00,226.00,18,27,False,False,0.00
42,DailyRation,10,12.00,13.00,100.00,100.00,70.00,100.00,100.00,250.00,20,30,False,False,0.00
42,DailyRation,11,11.20,11.80,100.00,100.00,70.00,100.00,100.00,274.00,22,33,False,False,0.00
42,DailyRation,12,10.40,10.60,100.00,100.00,70.00,100.00,100.00,298.00,24,36,False,False,0.00
42,DailyRation,13,9.60,9.40,100.00,100.00,70.00,100.00,100.00,322.00,26,39,False,False,0.00
42,DailyRation,14,8.80,8.20,100.00,100.00,70.00,100.00,100.00,346.00,28,42,False,False,0.00
42,DailyRation,15,8.00,7.00,100.00,100.00,70.00,100.00,100.00,370.00,30,45,False,False,0.00
42,DailyRation,16,7.20,5.80,100.00,100.00,70.00,100.00,100.00,394.00,32,48,False,False,0.00
42,DailyRation,17,6.40,4.60,100.00,100.00,70.00,100.00,100.00,418.00,34,51,False,False,0.00
42,DailyRation,18,5.60,3.40,100.00,100.00,70.00,100.00,100.00,442.00,36,54,False,False,0.00
42,DailyRation,19,4.80,2.20,100.00,100.00,70.00,100.00,100.00,466.00,38,57,False,False,0.00
42,DailyRation,20,4.00,1.20,100.00,100.00,70.00,100.00,100.00,490.00,40,60,False,False,0.00
42,DailyRation,21,3.20,1.20,100.00,100.00,70.00,100.00,100.00,514.00,42,63,False,False,0.00
42,DailyRation,22,2.40,1.20,100.00,100.00,70.00,100.00,100.00,538.00,44,66,False,False,0.00
42,DailyRation,23,1.60,1.20,100.00,100.00,70.00,100.00,100.00,562.00,46,69,False,False,0.00
42,DailyRation,24,0.80,1.20,100.00,100.00,70.00,100.00,100.00,586.00,48,72,False,False,0.00
42,DailyRation,25,0.80,1.20,100.00,100.00,70.00,100.00,100.00,610.00,50,75,False,False,0.00
42,DailyRation,26,0.80,1.20,100.00,100.00,70.00,100.00,100.00,634.00,52,78,False,False,0.00
42,DailyRation,27,0.80,1.20,100.00,100.00,70.00,100.00,100.00,658.00,54,81,False,False,0.00
42,DailyRation,28,0.80,1.20,100.00,100.00,70.00,100.00,100.00,682.00,56,84,False,False,0.00
42,DailyRation,29,0.80,1.20,100.00,100.00,70.00,100.00,100.00,706.00,58,87,False,False,0.00
42,DailyRation,30,0.80,1.20,100.00,100.00,70.00,100.00,100.00,730.00,60,90,False,False,0.00
