seed,scenario,day,hunger,thirst,fatigue,warmth,morale,health,radiationDose,lifetimeExposure,foodConsumed,waterConsumed,hungerCritical,thirstCritical,healthLossPerDay
999,SevereScarcity,1,39.20,53.80,19.60,100.00,70.00,100.00,29.00,34.00,0,0,False,False,0.00
999,SevereScarcity,2,38.40,62.60,29.20,100.00,70.00,100.00,53.00,58.00,2,2,False,False,0.00
999,SevereScarcity,3,57.60,91.40,38.80,100.00,68.00,98.80,77.00,82.00,2,2,False,True,1.20
999,SevereScarcity,4,56.80,81.20,48.40,100.00,45.00,85.00,100.00,106.00,4,4,False,False,15.00
999,SevereScarcity,5,76.00,100.00,58.00,100.00,28.00,74.80,100.00,130.00,4,4,False,True,25.20
999,SevereScarcity,6,75.20,81.20,67.60,100.00,5.00,58.60,100.00,154.00,6,6,False,False,41.40
999,SevereScarcity,7,94.40,100.00,77.20,100.00,0.00,46.00,100.00,178.00,6,6,True,True,54.00
999,SevereScarcity,8,80.80,81.20,86.80,100.00,0.00,23.00,100.00,202.00,8,8,False,False,77.00
999,SevereScarcity,9,100.00,100.00,96.40,100.00,0.00,7.60,100.00,226.00,8,8,True,True,92.40
999,SevereScarcity,10,100.00,100.00,99.60,100.00,0.00,0.00,100.00,250.00,10,10,True,True,100.00
999,SevereScarcity,11,100.00,100.00,99.60,100.00,0.00,0.00,100.00,274.00,10,10,True,True,100.00
999,SevereScarcity,12,100.00,100.00,99.60,100.00,0.00,0.00,100.00,298.00,12,12,True,True,100.00
999,SevereScarcity,13,100.00,100.00,99.60,100.00,0.00,0.00,100.00,322.00,12,12,True,True,100.00
999,SevereScarcity,14,100.00,100.00,99.60,100.00,0.00,0.00,100.00,346.00,14,14,True,True,100.00
999,SevereScarcity,15,100.00,100.00,99.60,100.00,0.00,0.00,100.00,370.00,14,14,True,True,100.00
999,SevereScarcity,16,100.00,100.00,99.60,100.00,0.00,0.00,100.00,394.00,16,16,True,True,100.00
999,SevereScarcity,17,100.00,100.00,99.60,100.00,0.00,0.00,100.00,418.00,16,16,True,True,100.00
999,SevereScarcity,18,100.00,100.00,99.60,100.00,0.00,0.00,100.00,442.00,18,18,True,True,100.00
999,SevereScarcity,19,100.00,100.00,99.60,100.00,0.00,0.00,100.00,466.00,18,18,True,True,100.00
999,SevereScarcity,20,100.00,100.00,99.60,100.00,0.00,0.00,100.00,490.00,20,20,True,True,100.00
999,SevereScarcity,21,100.00,100.00,99.60,100.00,0.00,0.00,100.00,514.00,20,20,True,True,100.00
999,SevereScarcity,22,100.00,100.00,99.60,100.00,0.00,0.00,100.00,538.00,22,22,True,True,100.00
999,SevereScarcity,23,100.00,100.00,99.60,100.00,0.00,0.00,100.00,562.00,22,22,True,True,100.00
999,SevereScarcity,24,100.00,100.00,99.60,100.00,0.00,0.00,100.00,586.00,24,24,True,True,100.00
999,SevereScarcity,25,100.00,100.00,99.60,100.00,0.00,0.00,100.00,610.00,24,24,True,True,100.00
999,SevereScarcity,26,100.00,100.00,99.60,100.00,0.00,0.00,100.00,634.00,26,26,True,True,100.00
999,SevereScarcity,27,100.00,100.00,99.60,100.00,0.00,0.00,100.00,658.00,26,26,True,True,100.00
999,SevereScarcity,28,100.00,100.00,99.60,100.00,0.00,0.00,100.00,682.00,28,28,True,True,100.00
999,SevereScarcity,29,100.00,100.00,99.60,100.00,0.00,0.00,100.00,706.00,28,28,True,True,100.00
999,SevereScarcity,30,100.00,100.00,99.60,100.00,0.00,0.00,100.00,730.00,30,30,True,True,100.00
