seed,scenario,day,health,hunger,thirst,fatigue,warmth,morale,radiationDose,foodInv,waterInv,fuelInv,foodConsumed,waterConsumed,fuelConsumed,foodPrice,waterPrice,fuelPrice,powerAvailable,heatAvailable,criticalCount,healthLoss
42,Stable,1,100.0,19.2,23.8,0.0,100.0,70.0,29.0,0,0,100.0,2,3,0.0,NaN,NaN,NaN,False,False,0,0.0
42,Stable,2,100.0,18.4,22.6,0.0,100.0,70.0,53.0,0,0,100.0,4,6,0.0,NaN,NaN,NaN,False,False,0,0.0
42,Stable,3,100.0,17.6,21.4,0.0,100.0,70.0,77.0,0,0,100.0,6,9,0.0,NaN,NaN,NaN,False,False,0,0.0
42,Stable,4,100.0,16.8,20.2,0.0,100.0,70.0,100.0,0,0,100.0,8,12,0.0,NaN,NaN,NaN,False,False,0,0.0
42,Stable,5,100.0,16.0,19.0,0.0,100.0,70.0,100.0,0,0,100.0,10,15,0.0,NaN,NaN,NaN,False,False,0,0.0
42,Stable,6,100.0,15.2,17.8,0.0,100.0,70.0,100.0,0,0,100.0,12,18,0.0,NaN,NaN,NaN,False,False,0,0.0
42,Stable,7,100.0,14.4,16.6,0.0,100.0,70.0,100.0,0,0,100.0,14,21,0.0,NaN,NaN,NaN,False,False,0,0.0
42,Stable,8,100.0,13.6,15.4,0.0,100.0,70.0,100.0,0,0,100.0,16,24,0.0,NaN,NaN,NaN,False,False,0,0.0
42,Stable,9,100.0,12.8,14.2,0.0,100.0,70.0,100.0,0,0,100.0,18,27,0.0,NaN,NaN,NaN,True,True,0,0.0
42,Stable,10,100.0,12.0,13.0,0.0,100.0,70.0,100.0,0,0,100.0,20,30,0.0,NaN,NaN,NaN,True,True,0,0.0
42,Stable,11,100.0,11.2,11.8,0.0,100.0,70.0,100.0,0,0,100.0,22,33,0.0,NaN,NaN,NaN,True,True,0,0.0
42,Stable,12,100.0,10.4,10.6,0.0,100.0,70.0,100.0,0,0,100.0,24,36,0.0,NaN,NaN,NaN,True,True,0,0.0
42,Stable,13,100.0,9.6,9.4,0.0,100.0,70.0,100.0,0,0,100.0,26,39,0.0,NaN,NaN,NaN,True,True,0,0.0
42,Stable,14,100.0,8.8,8.2,0.0,100.0,70.0,100.0,0,0,100.0,28,42,0.0,NaN,NaN,NaN,True,True,0,0.0
