Seed,Day,Difficulty,Ammo_Casings,Ammo_Lead,Ammo_Powder,Ammo_Crafted,Ammo_Fired,Ammo_Stock,Tooling_Lathe,Tooling_Press,Tooling_Bench,Radio_Decrypted,Radio_Triangulated,Social_PrivacyFatigue_Avg,Social_Disputes,Excavation_MethanePPM,Excavation_ShoringPermille,Excavation_CaveIns
42,1,Abundant,109,152,81,0,8,72,1.000,1.000,1.000,0,0,80,2,222,960,0
42,2,Abundant,115,154,83,0,5,67,1.000,1.000,1.000,0,0,160,3,123,918,0
42,3,Abundant,121,157,85,0,6,61,1.000,1.000,1.000,0,0,240,4,29,889,0
42,4,Abundant,128,159,87,0,8,53,1.000,1.000,1.000,0,0,320,4,0,864,0
42,5,Abundant,132,162,88,20,5,68,1.000,0.997,1.000,0,0,400,6,0,822,0
42,6,Abundant,138,167,89,0,6,62,1.000,0.997,1.000,0,0,480,7,0,783,0
42,7,Abundant,143,169,90,0,5,57,1.000,0.997,1.000,0,0,560,8,0,748,0
42,8,Abundant,151,172,92,0,7,50,1.000,0.997,1.000,0,0,640,9,0,711,0
42,9,Abundant,155,173,93,20,6,64,1.000,0.994,1.000,0,0,666,10,0,676,0
42,10,Abundant,162,175,95,0,8,56,1.000,0.994,1.000,0,0,666,11,0,656,0
42,11,Abundant,167,179,96,0,4,52,1.000,0.994,1.000,0,0,666,13,0,628,0
42,12,Abundant,171,181,96,20,6,66,1.000,0.991,1.000,0,0,666,13,0,983,0
42,13,Abundant,178,183,97,0,7,59,1.000,0.991,1.000,0,0,666,14,0,952,0
42,14,Abundant,186,186,99,0,9,50,1.000,0.991,1.000,0,0,666,15,0,932,0
42,15,Abundant,192,187,100,20,5,65,1.000,0.988,1.000,0,0,666,17,0,904,0
42,16,Abundant,201,189,101,0,9,56,1.000,0.988,1.000,0,0,666,17,0,857,0
42,17,Abundant,208,191,102,20,7,69,1.000,0.985,1.000,0,0,666,18,0,832,0
42,18,Abundant,212,194,104,0,4,65,1.000,0.985,1.000,0,0,666,19,0,810,0
42,19,Abundant,216,198,105,0,4,61,1.000,0.985,1.000,0,0,666,21,0,781,0
42,20,Abundant,223,201,107,0,9,52,1.000,0.985,1.000,0,0,666,21,0,756,0
42,21,Abundant,230,201,108,20,7,65,1.000,0.982,1.000,0,0,666,22,0,718,0
42,22,Abundant,238,203,109,0,9,56,1.000,0.982,1.000,0,0,666,23,0,676,0
42,23,Abundant,245,206,109,20,7,69,1.000,0.979,1.000,0,0,666,25,0,640,0
42,24,Abundant,251,210,110,0,6,63,1.000,0.979,1.000,0,0,666,25,0,607,0
42,25,Abundant,256,215,111,0,4,59,1.000,0.979,1.000,0,0,666,26,0,982,0
42,26,Abundant,262,217,112,0,7,52,1.000,0.979,1.000,0,0,666,27,0,941,0
42,27,Abundant,267,217,113,20,6,66,1.000,0.976,1.000,0,0,666,29,0,911,0
42,28,Abundant,273,221,115,0,6,60,1.000,0.976,1.000,0,0,666,29,0,878,0
42,29,Abundant,279,226,116,0,5,55,1.000,0.976,1.000,0,0,666,31,0,838,0
42,30,Abundant,285,229,117,20,9,66,1.000,0.973,1.000,0,0,666,31,0,813,0
42,31,Abundant,291,234,119,0,4,62,1.000,0.973,1.000,0,0,666,33,0,772,0
42,32,Abundant,299,236,121,0,8,54,1.000,0.973,1.000,0,0,666,34,0,726,0
42,33,Abundant,305,238,122,20,7,67,1.000,0.970,1.000,0,0,666,35,0,678,0
42,34,Abundant,310,243,123,0,5,62,1.000,0.970,1.000,0,0,666,35,0,657,0
42,35,Abundant,317,246,125,0,8,54,1.000,0.970,1.000,0,0,666,37,0,635,0
42,36,Abundant,324,249,125,20,9,65,1.000,0.967,1.000,0,0,666,38,0,615,0
42,37,Abundant,332,253,126,0,9,56,1.000,0.967,1.000,0,0,666,39,0,979,0
42,38,Abundant,337,256,127,20,7,69,1.000,0.964,1.000,0,0,666,40,0,946,0
42,39,Abundant,342,261,128,0,5,64,1.000,0.964,1.000,0,0,666,41,0,908,0
42,40,Abundant,351,266,129,0,8,56,1.000,0.964,1.000,0,0,666,42,0,863,0
42,41,Abundant,357,267,129,20,7,69,1.000,0.961,1.000,0,0,666,44,0,815,0
42,42,Abundant,364,271,130,0,9,60,1.000,0.961,1.000,0,0,666,44,0,778,0
42,43,Abundant,371,273,132,0,7,53,1.000,0.961,1.000,0,0,666,45,0,755,0
42,44,Abundant,376,276,132,20,7,66,1.000,0.958,1.000,0,0,666,46,0,727,0
42,45,Abundant,385,279,134,0,8,58,1.000,0.958,1.000,0,0,666,48,0,680,0
42,46,Abundant,393,283,136,0,8,50,1.000,0.958,1.000,0,0,666,48,0,637,0
42,47,Abundant,398,284,137,20,7,63,1.000,0.955,1.000,0,0,666,49,0,601,0
42,48,Abundant,405,287,139,0,6,57,1.000,0.955,1.000,0,0,666,50,0,976,0
42,49,Abundant,411,289,141,0,6,51,1.000,0.955,1.000,0,0,666,52,0,944,0
42,50,Abundant,417,290,142,20,8,63,1.000,0.952,1.000,0,0,666,52,0,921,0
42,51,Abundant,425,295,144,0,9,54,1.000,0.952,1.000,0,0,666,54,0,901,0
42,52,Abundant,430,299,146,0,4,50,1.000,0.952,1.000,0,0,666,54,0,862,0
42,53,Abundant,435,301,147,20,4,66,1.000,0.949,1.000,0,0,666,56,0,836,0
42,54,Abundant,443,303,148,0,9,57,1.000,0.949,1.000,0,0,666,57,0,810,0
42,55,Abundant,450,308,149,0,5,52,1.000,0.949,1.000,0,0,666,58,0,789,0
42,56,Abundant,457,308,149,20,8,64,1.000,0.946,1.000,0,0,666,58,0,749,0
42,57,Abundant,463,312,151,0,6,58,1.000,0.946,1.000,0,0,666,60,0,715,0
42,58,Abundant,469,317,153,0,4,54,1.000,0.946,1.000,0,0,666,61,0,666,0
42,59,Abundant,477,320,154,20,8,66,1.000,0.943,1.000,0,0,666,62,0,620,0
42,60,Abundant,484,323,156,0,6,60,1.000,0.943,1.000,0,0,666,63,0,977,0
42,61,Abundant,492,328,158,0,9,51,1.000,0.943,1.000,0,0,666,64,0,936,0
42,62,Abundant,499,328,159,20,9,62,1.000,0.940,1.000,0,0,666,65,0,910,0
42,63,Abundant,506,332,161,0,8,54,1.000,0.940,1.000,0,0,666,67,0,882,0
42,64,Abundant,512,332,161,20,8,66,1.000,0.937,1.000,0,0,666,67,0,855,0
42,65,Abundant,517,337,162,0,5,61,1.000,0.937,1.000,0,0,666,68,0,808,0
42,66,Abundant,524,342,164,0,6,55,1.000,0.937,1.000,0,0,666,69,0,772,0
42,67,Abundant,532,345,164,20,8,67,1.000,0.934,1.000,0,0,666,71,0,732,0
42,68,Abundant,539,348,166,0,6,61,1.000,0.934,1.000,0,0,666,71,0,704,0
42,69,Abundant,545,351,168,0,4,57,1.000,0.934,1.000,0,0,666,72,0,664,0
42,70,Abundant,549,354,170,0,4,53,1.000,0.934,1.000,0,0,666,73,0,620,0
42,71,Abundant,554,357,170,20,5,68,1.000,0.931,1.000,0,0,666,75,0,971,0
42,72,Abundant,559,360,172,0,6,62,1.000,0.931,1.000,0,0,666,75,0,933,0
42,73,Abundant,565,364,173,0,4,58,1.000,0.931,1.000,0,0,666,77,0,911,0
42,74,Abundant,573,366,175,0,8,50,1.000,0.931,1.000,0,0,666,77,0,877,0
42,75,Abundant,578,368,175,20,5,65,1.000,0.928,1.000,0,0,666,79,0,849,0
42,76,Abundant,584,372,176,0,6,59,1.000,0.928,1.000,0,0,666,80,0,821,0
42,77,Abundant,589,374,177,0,6,53,1.000,0.928,1.000,0,0,666,81,0,800,0
42,78,Abundant,594,374,177,20,4,69,1.000,0.925,1.000,0,0,666,81,0,756,0
42,79,Abundant,602,378,179,0,9,60,1.000,0.925,1.000,0,0,666,83,0,733,0
42,80,Abundant,609,380,180,0,5,55,1.000,0.925,1.000,0,0,666,84,0,690,0
42,81,Abundant,613,380,180,20,6,69,1.000,0.922,1.000,0,0,666,85,0,650,0
42,82,Abundant,618,384,182,0,6,63,1.000,0.922,1.000,0,0,666,85,0,621,0
42,83,Abundant,626,386,184,0,9,54,1.000,0.922,1.000,0,0,666,87,0,974,0
42,84,Abundant,632,387,185,20,5,69,1.000,0.919,1.000,0,0,666,88,0,948,0
42,85,Abundant,639,389,186,0,8,61,1.000,0.919,1.000,0,0,666,89,0,911,0
42,86,Abundant,646,391,188,0,6,55,1.000,0.919,1.000,0,0,666,89,0,870,0
42,87,Abundant,650,391,189,20,6,69,1.000,0.916,1.000,0,0,666,91,0,850,0
42,88,Abundant,655,393,191,0,5,64,1.000,0.916,1.000,0,0,666,92,0,807,0
42,89,Abundant,661,396,193,0,4,60,1.000,0.916,1.000,0,0,666,93,0,765,0
42,90,Abundant,668,399,195,0,7,53,1.000,0.916,1.000,0,0,666,94,0,739,0
42,91,Abundant,676,399,195,20,8,65,1.000,0.913,1.000,0,0,666,95,0,703,0
42,92,Abundant,680,404,197,0,4,61,1.000,0.913,1.000,0,0,666,96,0,654,0
42,93,Abundant,687,408,198,0,5,56,1.000,0.913,1.000,0,0,666,98,0,605,0
