item_id	item_type	hunger_restore	thirst_restore	health_effect	morale_effect	rad_cleanse	contamination	durability	rad_protection	audio_cue	medical_class
iodine_pills	Iodine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_pill_bottle	iodine
anti_rad	AntiRad	0.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	action_injection	chelation_anti_rad
clean_water	Water	0.0	40.0	0.0	1.0	0.0	0.0	0.0	0.0	action_water_pour	none
irradiated_water	IrradiatedWater	0.0	25.0	0.0	0.0	0.0	0.5	0.0	0.0	action_water_pour	none
canned_food	Food	40.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
bandage	Medical	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
raw_meat	Food	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	action_item_pickup	none
cooked_meat	Food	50.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
dirty_water	IrradiatedWater	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	action_water_pour	none
morphine	Medical	0.0	0.0	35.0	4.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
medical_kit	Medical	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
splint	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
antibiotics	Medical	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
jewelry	Trade	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
chemicals	Material	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	action_item_pickup	none
roots	Food	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_item_pickup	none
berries	Food	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_amnestic_syrup	Medical	0.0	0.0	-10.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_anchor_notes	Quest	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_black_water_vial	Water	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	action_water_pour	none
item_frostbite_salve	Medical	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_lithium_salts	Medical	0.0	0.0	10.0	5.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_prussian_blue_chelating_pellets	Medical	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	action_injection	chelation_anti_rad
item_scopolamine_root	Medical	0.0	0.0	0.0	-2.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
item_suitcase_locked	Tool	0.0	0.0	0.0	2.0	0.0	0.0	50.0	0.0	action_item_pickup	none
item_surgical_bone_chisel	Medical	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	action_injection	therapeutic
item_teddy_bear	Trade	0.0	0.0	0.0	3.0	0.0	0.0	30.0	0.0	action_item_pickup	none
alcohol_wipes_box_10_of_10	Medical	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
antiseptic_1l_of_1l	Medical	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
canned_soup	Food	30.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	action_item_pickup	none
childrens_books	Quest	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
cigarette_lighter	Tool	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	action_item_pickup	none
clean_water_jug	Water	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	action_water_pour	none
cooking_oil	Food	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_item_pickup	none
dried_rations	Food	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_item_pickup	none
field_surgical_kit	Medical	0.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
growing_manual	Quest	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	action_item_pickup	none
iodine_tablets	Medical	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	action_injection	chelation_anti_rad
item_cassette_tape	Comfort	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_pre_war_photo_album	Quest	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	action_item_pickup	none
item_vinyl_collection	Comfort	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	action_item_pickup	none
medkit	Medical	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	action_injection	therapeutic
military_mre	Food	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_item_pickup	none
military_rations	Food	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	action_item_pickup	none
military_supply_crate	Tool	0.0	0.0	0.0	2.0	0.0	0.0	80.0	0.0	action_item_pickup	none
music_box_fur_elise	Material	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	action_item_pickup	none
protective_childs_coat	Protective	0.0	0.0	0.0	2.0	0.0	0.0	50.0	15.0	action_item_pickup	none
seed_packets	Material	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	action_item_pickup	none
spirits	Material	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	action_item_pickup	none
sugar	Material	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	action_item_pickup	none
tobacco_pouch	Trade	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	action_item_pickup	none
water_bottle_0_5l_of_1l	Water	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	action_water_pour	none
water_bottle_1l_full	Water	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	action_water_pour	none
