canonical_name,source_path,kind,core_authority,host_entrypoint,runtime_reachable,save_owner,test_surface,classification,risk,evidence_source,status_confidence
**Total**,Assets/Ashfall.Core/**Total**.cs,domain component,yes,none,not proven,none,none,LIVE_CORE,LOW,57_SUBSYSTEMS_FORENSIC_REPORT_FINAL.md,verified
1 (1-30),Assets/Ashfall.Core/1 (1-30).cs,domain component,yes,none,not proven,none,none,LIVE_CORE,LOW,57_SUBSYSTEMS_FORENSIC_REPORT_FINAL.md,verified
2 (31-60),Assets/Ashfall.Core/2 (31-60).cs,domain component,yes,none,not proven,none,none,LIVE_CORE,LOW,57_SUBSYSTEMS_FORENSIC_REPORT_FINAL.md,verified
3 (61-110),Assets/Ashfall.Core/3 (61-110).cs,domain component,yes,none,not proven,none,none,LIVE_CORE,LOW,57_SUBSYSTEMS_FORENSIC_REPORT_FINAL.md,verified
4 (111-160),Assets/Ashfall.Core/4 (111-160).cs,domain component,yes,none,not proven,none,none,LIVE_CORE,LOW,57_SUBSYSTEMS_FORENSIC_REPORT_FINAL.md,verified
5 (161-210),Assets/Ashfall.Core/5 (161-210).cs,domain component,yes,none,not proven,none,none,LIVE_CORE,LOW,57_SUBSYSTEMS_FORENSIC_REPORT_FINAL.md,verified
6 (211-254),Assets/Ashfall.Core/6 (211-254).cs,domain component,yes,none,not proven,none,none,LIVE_CORE,LOW,57_SUBSYSTEMS_FORENSIC_REPORT_FINAL.md,verified
AbyssalAnomaliesCatalog,Assets/Ashfall.Core/Narrative/AbyssalAnomaliesCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: AbyssalAnomaliesCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
AchievementDetailPanel,src/UI/AchievementDetailPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
AchievementsPanel,src/UI/AchievementsPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
ActiveCraftSave,Assets/Ashfall.Core/Crafting/CraftingSystem.cs,save DTO/codec,yes,core-internal,proven (Core),system (CaptureState),none,CORE_INTERNAL,LOW,codebase scan,verified
AfflictionsPanel,src/UI/AfflictionsPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
AirlockSecurityHostSave,src/Host/AirlockSecuritySaveStore.cs,save store,no (host),direct (host),proven,none,Core tests (1 suites: ExpandedShelterSaveChecksumTests.cs),LIVE_GODOT,LOW,codebase scan,verified
AirlockSecurityHostSession,src/Host/AirlockSecurityHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
AirlockSecurityPanel,src/UI/AirlockSecurityPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
AirlockSecuritySaveStore,src/Host/AirlockSecuritySaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
AirlockSecuritySystem,Assets/Ashfall.Core/AirlockSecuritySystem.cs,gameplay system,yes,direct,proven,AirlockSecuritySaveStore,Core tests (4 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
ApicultureBeeCatalog,Assets/Ashfall.Core/Narrative/ApicultureBeeCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: ApicultureBeeCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
ApicultureSystem,Assets/Ashfall.Core/Greenhouse/ApicultureSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (1 suites: ApicultureAndTriangulationIntegrationTests.cs),LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
ApprenticeshipHostSave,src/Host/ApprenticeshipSaveStore.cs,save store,no (host),direct (host),proven,none,Core tests (1 suites: ExpandedShelterSaveChecksumTests.cs),LIVE_GODOT,LOW,codebase scan,verified
ApprenticeshipHostSession,src/Host/ApprenticeshipHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
ApprenticeshipPanel,src/UI/ApprenticeshipPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
ApprenticeshipSaveStore,src/Host/ApprenticeshipSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
ApprenticeshipSystem,Assets/Ashfall.Core/ApprenticeshipSystem.cs,gameplay system,yes,direct,proven,ApprenticeshipSaveStore,Core tests (3 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
ArchiveDeskHostSave,src/Host/ArchiveDeskHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Core tests (1 suites: NewSaveStoreChecksumSweepTests.cs),LIVE_GODOT,LOW,codebase scan,verified
ArchiveDeskHostSession,src/Host/ArchiveDeskHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
ArchiveDeskPanel,src/UI/ArchiveDeskPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
ArchiveDeskSaveStore,src/Host/ArchiveDeskHostSession.cs,host session,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
ArchiveDeskSystem,Assets/Ashfall.Core/ArchiveDeskSystem.cs,gameplay system,yes,direct,proven,ArchiveDeskSaveStore,Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
AudioConditionSystem,Assets/Ashfall.Core/AudioConditionSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
AudioCueCatalog,src/Audio/AudioCueCatalog.cs,catalog,no (host),direct (host),proven,none,CatalogIntegrityValidator (129 catalogs),LIVE_GODOT,LOW,codebase scan,verified
AutopsyHostSave,src/Host/AutopsySaveStore.cs,save store,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
AutopsyHostSession,src/Host/AutopsyHostSession.cs,host session,no (host),direct (host),proven,system (CaptureState),Godot headless selftests,LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
AutopsyReportPanel,src/UI/AutopsyReportPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
AutopsySaveStore,src/Host/AutopsySaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
AutopsySystem,Assets/Ashfall.Core/AutopsySystem.cs,gameplay system,yes,direct,proven,AutopsySaveStore,Core tests (4 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
BallisticsSystem,Assets/Ashfall.Core/Combat/BallisticsSystem.cs,gameplay system,yes,core-internal,proven (Core),none,Core tests (1 suites: CombatBallisticsTests.cs),CORE_INTERNAL,LOW — reconciled as CORE_INTERNAL / DIRECT_HOSTED,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
BlackProjectsCatalog,Assets/Ashfall.Core/Narrative/BlackProjectsCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: BlackProjectsCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
BoneHornCarvingCatalog,Assets/Ashfall.Core/Narrative/BoneHornCarvingCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: BoneHornCarvingCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
BrineExtractionPanel,src/UI/BrineExtractionPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
BrineWaterSystem,Assets/Ashfall.Core/BrineWaterSystem.cs,gameplay system,yes,indirect,proven,system (CaptureState),Core tests (4 suites),LIVE_CORE + LIVE_GODOT,LOW,30_SUBSYSTEMS_FORENSIC_REPORT_2.md,verified
BuiltInQuestlineCatalog,Assets/Ashfall.Core/YearOfAsh/BuiltInQuestlineCatalog.cs,catalog,yes,core-internal,proven (Core),none,CatalogIntegrityValidator (129 catalogs),CORE_INTERNAL,LOW,codebase scan,verified
BunkerBlueprintCatalog,Assets/Ashfall.Core/Narrative/BunkerBlueprintCatalog.cs,catalog,yes,indirect,proven,none,Core tests (2 suites),LIVE_CORE + LIVE_GODOT,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
BunkerContrabandCatalog,Assets/Ashfall.Core/Narrative/BunkerContrabandCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: BunkerContrabandCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
BunkerCourtCatalog,Assets/Ashfall.Core/Narrative/BunkerCourtCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: BunkerCourtCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
BunkerGraffitiCatalog,Assets/Ashfall.Core/Narrative/BunkerGraffitiCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: BunkerGraffitiCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
BunkerMaintenanceCatalog,Assets/Ashfall.Core/Narrative/BunkerMaintenanceCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: BunkerMaintenanceCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
CampaignDaySave,Assets/Ashfall.Core/Campaign/CampaignDaySave.cs,save DTO/codec,yes,indirect,proven,none,none,LIVE_CORE + LIVE_GODOT,LOW,codebase scan,verified
CampaignDaySaveStore,src/Host/CampaignDaySaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
CandleMakingWaxCatalog,Assets/Ashfall.Core/Narrative/CandleMakingWaxCatalog.cs,catalog,yes,core-internal,proven (Core),none,Core tests (1 suites: CandleMakingWaxCatalogTests.cs),CORE_INTERNAL,LOW,50_SUBSYSTEMS_FORENSIC_REPORT_3.md,verified
CaravanBarterLedgerPanel,src/UI/CaravanBarterLedgerPanel.cs,ui panel,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
CaravanHostSave,src/Host/CaravanSaveStore.cs,save store,no (host),direct (host),proven,none,Godot headless selftests,LIVE_GODOT,LOW,codebase scan,verified
CaravanSaveStore,src/Host/CaravanSaveStore.cs,save store,no (host),direct (host),proven,store (self),none,LIVE_GODOT,LOW,codebase scan,verified
